iter	Passed	Remaining
907	1759	178
908	1760	176
909	1762	174
910	1763	172
911	1766	170
912	1767	168
913	1768	166
914	1770	164
915	1771	162
916	1772	160
917	1774	158
918	1775	156
919	1776	154
920	1777	152
921	1779	150
922	1781	148
923	1782	146
924	1783	144
925	1785	142
926	1787	140
927	1788	138
928	1789	136
929	1791	134
930	1792	132
931	1795	131
932	1797	129
933	1798	127
934	1800	125
935	1802	123
936	1803	121
937	1805	119
938	1806	117
939	1808	115
940	1810	113
941	1812	111
942	1813	109
943	1814	107
944	1815	105
945	1817	103
946	1818	101
947	1819	99
948	1820	97
949	1821	95
950	1824	94
951	1826	92
952	1827	90
953	1828	88
954	1830	86
955	1831	84
956	1832	82
957	1834	80
958	1835	78
959	1836	76
960	1838	74
961	1841	72
962	1842	70
963	1843	68
964	1845	66
965	1846	64
966	1847	63
967	1848	61
968	1849	59
969	1850	57
970	1852	55
971	1855	53
972	1856	51
973	1858	49
974	1859	47
975	1860	45
976	1862	43
977	1863	41
978	1864	39
979	1865	38
980	1867	36
981	1870	34
982	1871	32
983	1872	30
984	1874	28
985	1875	26
986	1876	24
987	1877	22
988	1879	20
989	1880	18
990	1881	17
991	1883	15
992	1885	13
993	1886	11
994	1888	9
995	1889	7
996	1891	5
997	1892	3
998	1893	1
999	1894	0
